customerid,billmonth,month,monthlycharge,totalamount,payment,paymentdate
1,2026-05-01,5,25.42,27.2,27.2,2026-05-08
2,2026-05-01,5,56.08,60.01,60.01,2026-05-05
3,2026-05-01,5,71.38,76.38,76.38,2026-05-07
4,2026-05-01,5,35.78,38.28,38.28,2026-05-05
5,2026-05-01,5,31.05,33.22,33.22,2026-05-06
6,2026-05-01,5,27.37,29.29,29.29,2026-05-07
7,2026-05-01,5,111.66,119.48,119.48,2026-05-08
8,2026-05-01,5,41.67,44.59,44.59,2026-05-22
9,2026-05-01,5,122.31,130.87,130.87,2026-05-05
10,2026-05-01,5,109.69,117.37,117.37,2026-05-05
11,2026-05-01,5,34.84,37.28,37.28,2026-05-05
12,2026-05-01,5,52.92,56.62,56.62,2026-05-05
13,2026-05-01,5,74.36,79.57,79.57,2026-05-05
14,2026-05-01,5,129.31,138.36,138.36,2026-05-05
15,2026-05-01,5,34.8,37.24,37.24,2026-05-06
16,2026-05-01,5,128.57,137.57,137.57,2026-05-07
17,2026-05-01,5,108.29,115.87,115.87,2026-05-07
18,2026-05-01,5,54.95,58.8,58.8,2026-05-07
19,2026-05-01,5,99.24,106.19,106.19,2026-05-07
20,2026-05-01,5,128.04,137.0,137.0,2026-05-08
21,2026-05-01,5,57.64,61.67,61.67,2026-05-05
22,2026-05-01,5,40.38,43.21,43.21,2026-05-05
23,2026-05-01,5,51.41,55.01,55.01,2026-05-05
24,2026-05-01,5,61.66,65.98,65.98,2026-05-06
25,2026-05-01,5,105.99,113.41,113.41,2026-05-09
26,2026-05-01,5,23.17,24.79,24.79,2026-05-05
27,2026-05-01,5,136.13,145.66,145.66,2026-05-07
28,2026-05-01,5,72.74,77.83,77.83,2026-05-07
29,2026-05-01,5,84.52,90.44,90.44,2026-05-07
30,2026-05-01,5,67.34,72.05,72.05,2026-05-08
31,2026-05-01,5,38.72,41.43,41.43,2026-05-07
32,2026-05-01,5,57.84,61.89,61.89,2026-05-05
33,2026-05-01,5,35.97,38.49,38.49,2026-05-06
34,2026-05-01,5,39.82,42.61,42.61,2026-05-06
35,2026-05-01,5,24.42,26.13,26.13,2026-05-05
36,2026-05-01,5,79.14,84.68,84.68,2026-05-06
37,2026-05-01,5,120.32,128.74,128.74,2026-05-07
38,2026-05-01,5,52.67,56.36,56.36,2026-05-10
39,2026-05-01,5,73.55,78.7,78.7,2026-05-07
40,2026-05-01,5,95.2,101.86,101.86,2026-05-05
41,2026-05-01,5,35.06,37.51,37.51,2026-05-05
42,2026-05-01,5,26.86,28.74,28.74,2026-05-12
43,2026-05-01,5,35.64,38.13,38.13,2026-05-05
44,2026-05-01,5,90.84,97.2,97.2,2026-05-05
45,2026-05-01,5,61.35,65.64,65.64,2026-05-05
46,2026-05-01,5,66.04,70.66,70.66,2026-05-05
47,2026-05-01,5,137.67,147.31,147.31,2026-05-05
48,2026-05-01,5,21.41,22.91,22.91,2026-05-06
49,2026-05-01,5,127.57,136.5,136.5,2026-05-19
50,2026-05-01,5,26.49,28.34,28.34,2026-05-10
51,2026-05-01,5,21.04,22.51,22.51,2026-05-23
52,2026-05-01,5,40.22,43.04,43.04,2026-05-07
53,2026-05-01,5,60.56,64.8,64.8,2026-05-05
54,2026-05-01,5,35.77,38.27,38.27,2026-05-05
55,2026-05-01,5,122.67,131.26,131.26,2026-05-05
