customer_id,plan,monthly_charges,contract_type
1,Basic,25.42,One year
2,Standard,56.08,One year
3,Standard,71.38,Two year
4,Basic,35.78,Two year
5,Basic,31.05,Month-to-month
6,Basic,27.37,Month-to-month
7,Premium,111.66,Month-to-month
8,Basic,41.67,One year
9,Premium,122.31,One year
10,Premium,109.69,One year
11,Basic,34.84,One year
12,Standard,52.92,Month-to-month
13,Standard,74.36,Month-to-month
14,Premium,129.31,One year
15,Basic,34.8,One year
16,Premium,128.57,One year
17,Premium,108.29,One year
18,Standard,54.95,One year
19,Premium,99.24,Month-to-month
20,Premium,128.04,Month-to-month
21,Standard,57.64,One year
22,Basic,40.38,One year
23,Standard,51.41,Month-to-month
24,Standard,61.66,Month-to-month
25,Premium,105.99,Month-to-month
26,Basic,23.17,One year
27,Premium,136.13,Month-to-month
28,Standard,72.74,One year
29,Standard,84.52,Two year
30,Standard,67.34,Month-to-month
31,Basic,38.72,Month-to-month
32,Standard,57.84,Month-to-month
33,Basic,35.97,Month-to-month
34,Basic,39.82,One year
35,Basic,24.42,Month-to-month
36,Standard,79.14,One year
37,Premium,120.32,Two year
38,Standard,52.67,One year
39,Standard,73.55,One year
40,Premium,95.2,Month-to-month
41,Basic,35.06,Two year
42,Basic,26.86,Month-to-month
43,Basic,35.64,One year
44,Premium,90.84,Month-to-month
45,Standard,61.35,Two year
46,Standard,66.04,Month-to-month
47,Premium,137.67,Month-to-month
48,Basic,21.41,Month-to-month
49,Premium,127.57,Month-to-month
50,Basic,26.49,Two year
51,Basic,21.04,Month-to-month
52,Basic,40.22,Month-to-month
53,Standard,60.56,Month-to-month
54,Basic,35.77,One year
55,Premium,122.67,Two year
56,Standard,72.8,One year
57,Basic,30.4,Month-to-month
58,Standard,78.14,Month-to-month
59,Standard,62.82,Month-to-month
60,Basic,26.52,One year
61,Standard,52.02,Month-to-month
62,Premium,137.66,Month-to-month
63,Standard,76.37,One year
64,Basic,40.47,Month-to-month
65,Standard,52.96,One year
66,Basic,41.78,Month-to-month
67,Basic,40.84,Month-to-month
68,Basic,29.56,Two year
69,Basic,27.37,Month-to-month
70,Basic,31.05,Month-to-month
71,Basic,33.6,Two year
72,Basic,33.71,One year
73,Premium,135.07,One year
74,Basic,26.37,One year
75,Premium,122.07,Month-to-month
76,Standard,55.12,Two year
77,Basic,35.94,Month-to-month
78,Standard,60.51,Month-to-month
79,Premium,90.49,One year
80,Standard,62.23,Month-to-month
81,Standard,73.02,Month-to-month
82,Basic,26.29,Month-to-month
83,Premium,94.37,Month-to-month
84,Basic,32.05,Month-to-month
85,Premium,131.69,Month-to-month
86,Basic,21.9,Two year
87,Basic,24.28,One year
88,Standard,70.99,Month-to-month
89,Basic,30.04,Two year
90,Premium,124.33,Month-to-month
