customer_id,complaints,tickets,resolution_time
1,0,0,0.0
2,3,3,21.87
3,2,3,21.28
4,0,3,6.78
5,0,0,0.0
6,0,0,0.0
7,0,0,0.0
8,0,0,0.0
9,0,2,8.53
10,0,0,0.0
11,0,0,0.0
12,0,0,0.0
13,0,0,0.0
14,0,0,0.0
15,0,0,0.0
16,0,2,14.4
17,0,0,0.0
18,0,0,0.0
19,0,0,0.0
20,0,0,0.0
21,0,0,0.0
22,0,0,0.0
23,0,1,5.28
24,0,1,16.64
25,0,0,0.0
26,1,1,43.05
27,2,2,39.33
28,0,1,5.94
29,0,0,0.0
30,0,1,2.73
31,0,0,0.0
32,0,2,52.42
33,4,4,44.7
34,2,3,11.35
35,0,0,0.0
36,0,0,0.0
37,0,2,14.89
38,0,1,9.82
39,1,3,20.39
40,0,1,1.14
41,0,0,0.0
42,0,1,12.94
43,0,0,0.0
44,0,0,0.0
45,0,2,13.29
46,0,0,0.0
47,1,1,4.41
48,0,1,24.9
49,0,2,2.04
50,1,3,12.38
51,0,0,0.0
52,0,2,6.17
53,0,0,0.0
54,0,1,6.21
55,0,2,6.96
56,0,1,4.0
57,0,2,7.8
58,0,0,0.0
59,0,1,8.02
60,0,0,0.0
61,0,0,0.0
62,0,1,1.92
63,0,2,13.48
64,1,3,21.38
65,0,0,0.0
66,0,0,0.0
67,0,3,5.96
68,0,0,0.0
69,0,3,14.39
70,0,0,0.0
71,0,0,0.0
72,0,0,0.0
73,1,2,36.6
74,0,0,0.0
75,0,1,18.96
76,1,2,2.23
77,0,0,0.0
78,1,4,14.42
79,1,2,6.52
80,0,0,0.0
81,0,0,0.0
82,0,2,30.85
83,0,0,0.0
84,0,0,0.0
85,0,3,16.43
86,0,0,0.0
87,0,1,5.28
88,0,2,2.59
89,1,1,4.16
90,0,0,0.0
91,0,1,7.36
92,0,0,0.0
93,0,1,19.93
94,0,3,14.69
95,0,0,0.0
96,3,3,7.45
97,0,0,0.0
98,0,0,0.0
99,0,2,3.33
100,1,2,15.46
101,0,2,31.37
102,0,0,0.0
103,0,1,13.55
104,0,1,18.05
105,1,1,37.17
106,1,1,27.52
107,0,1,7.31
108,0,2,1.85
109,2,3,15.43
110,0,0,0.0
111,0,0,0.0
112,0,1,3.01
113,0,0,0.0
114,0,1,23.26
115,3,3,32.1
116,0,1,1.9
117,0,1,8.23
118,1,1,12.22
119,0,0,0.0
120,0,0,0.0
121,0,0,0.0
122,0,0,0.0
123,0,0,0.0
124,0,0,0.0
125,0,0,0.0
126,0,1,8.57
127,4,4,2.28
128,0,2,2.31
129,0,0,0.0
130,0,1,11.98
131,0,1,7.88
132,1,1,10.14
133,0,1,25.48
134,0,0,0.0
135,0,4,14.37
136,0,0,0.0
137,0,0,0.0
138,5,5,12.56
139,0,0,0.0
140,0,1,7.53
141,0,1,10.85
142,0,0,0.0
143,0,0,0.0
144,0,2,28.07
145,0,0,0.0
146,0,0,0.0
147,0,0,0.0
148,0,0,0.0
149,0,1,2.06
150,0,0,0.0
151,1,1,16.49
152,0,1,4.6
153,0,0,0.0
154,0,0,0.0
155,0,1,22.15
156,0,2,5.44
157,0,0,0.0
158,0,0,0.0
159,0,0,0.0
160,5,6,13.45
161,0,1,42.67
162,1,2,61.17
163,0,0,0.0
164,0,0,0.0
165,0,0,0.0
166,0,0,0.0
167,0,0,0.0
168,0,0,0.0
169,1,3,5.41
170,0,1,29.7
171,0,0,0.0
172,2,3,11.05
173,0,0,0.0
174,0,0,0.0
175,2,4,19.69
176,2,3,38.71
177,0,0,0.0
178,0,0,0.0
179,0,0,0.0
180,0,0,0.0
181,1,1,8.2
182,0,0,0.0
183,0,0,0.0
184,0,0,0.0
185,0,0,0.0
186,0,2,15.69
187,0,0,0.0
188,0,1,4.59
189,0,1,28.41
190,1,2,1.49
191,1,1,14.85
192,0,0,0.0
193,1,1,20.42
194,1,2,14.28
195,0,0,0.0
196,0,0,0.0
197,0,0,0.0
198,2,3,5.16
199,0,1,1.09
200,0,0,0.0
201,1,4,18.88
202,3,5,5.88
203,0,1,4.58
204,0,0,0.0
205,2,2,1.32
206,0,1,2.18
207,0,0,0.0
208,0,1,2.26
209,0,2,11.05
210,0,0,0.0
211,0,1,6.19
212,3,3,3.45
213,0,2,5.01
214,0,0,0.0
215,1,1,7.17
216,1,3,42.44
217,0,0,0.0
218,1,1,23.04
219,0,1,10.31
220,0,3,8.04
221,0,0,0.0
222,0,0,0.0
223,0,0,0.0
224,0,2,20.88
225,3,4,6.11
226,0,0,0.0
227,0,4,6.14
228,0,0,0.0
229,0,0,0.0
230,0,2,1.61
231,0,0,0.0
232,0,0,0.0
233,0,1,8.37
234,0,0,0.0
235,0,0,0.0
236,0,0,0.0
237,1,3,5.82
238,0,0,0.0
239,0,1,12.87
240,0,1,12.13
241,2,4,9.75
242,1,1,4.68
243,0,0,0.0
244,1,3,3.86
245,0,1,5.23
246,0,0,0.0
247,1,1,11.71
248,0,0,0.0
249,0,1,80.02
250,0,1,4.62
251,0,0,0.0
252,0,0,0.0
253,0,1,3.56
254,0,0,0.0
255,0,1,5.24
256,0,0,0.0
257,0,0,0.0
258,0,2,3.03
259,0,0,0.0
260,0,1,5.08
261,1,1,7.33
262,0,0,0.0
263,0,2,8.98
264,0,1,9.8
265,2,3,19.28
266,0,1,34.2
267,0,0,0.0
268,0,0,0.0
269,2,2,21.77
270,2,2,17.6
271,0,0,0.0
272,3,3,6.22
273,0,0,0.0
274,0,0,0.0
275,0,1,23.37
276,1,3,23.15
277,0,2,20.64
278,0,1,5.21
279,0,2,12.06
280,0,0,0.0
281,0,2,11.73
282,0,2,13.37
283,0,1,12.8
284,0,0,0.0
285,0,0,0.0
286,4,5,11.36
287,1,1,35.58
288,0,0,0.0
289,0,0,0.0
290,0,1,2.73
291,0,0,0.0
292,0,3,1.13
293,0,0,0.0
294,0,1,10.2
295,0,0,0.0
296,2,2,1.74
297,0,1,13.12
298,1,4,20.18
299,0,0,0.0
300,0,0,0.0
301,0,2,8.9
302,0,1,2.45
303,0,1,4.28
304,1,2,4.17
305,0,0,0.0
306,0,0,0.0
307,2,2,2.11
308,0,1,23.71
309,0,0,0.0
310,0,0,0.0
311,0,0,0.0
312,3,4,4.08
313,1,1,1.23
314,0,1,22.63
315,2,3,2.36
316,0,0,0.0
317,1,1,2.19
318,4,4,29.89
319,0,1,29.44
320,0,0,0.0
321,0,2,1.79
322,1,2,10.38
323,0,0,0.0
324,1,1,4.11
325,1,2,4.35
326,0,0,0.0
327,0,0,0.0
328,0,0,0.0
329,2,2,2.14
330,2,3,12.85
331,0,0,0.0
332,0,0,0.0
333,1,1,12.41
334,0,1,24.05
335,0,0,0.0
336,0,0,0.0
337,0,0,0.0
338,1,1,44.36
339,0,0,0.0
340,0,0,0.0
341,0,2,45.31
342,0,1,1.39
343,0,0,0.0
344,0,0,0.0
345,1,1,16.09
346,0,0,0.0
347,0,2,9.36
348,2,3,21.13
349,0,0,0.0
350,0,0,0.0
351,0,0,0.0
352,5,5,55.37
353,0,1,6.66
354,0,0,0.0
355,1,1,38.82
356,1,2,6.15
357,0,1,10.68
358,0,0,0.0
359,0,1,5.43
360,5,6,28.63
361,0,0,0.0
362,0,1,3.99
363,0,3,14.87
364,0,2,17.15
365,0,0,0.0
366,1,1,3.33
367,0,4,17.79
368,0,0,0.0
369,0,0,0.0
370,0,0,0.0
371,1,2,15.94
372,0,0,0.0
373,0,0,0.0
374,0,4,5.2
375,0,0,0.0
376,0,0,0.0
377,0,3,12.64
378,2,2,2.77
379,0,1,69.56
380,1,2,12.19
381,0,0,0.0
382,0,0,0.0
383,0,4,8.77
384,0,2,2.48
385,1,2,5.48
386,1,3,8.45
387,0,1,20.67
388,3,3,28.57
389,0,1,15.58
390,0,2,2.13
391,0,1,14.55
392,1,2,7.25
393,0,0,0.0
394,0,0,0.0
395,0,2,21.78
396,0,0,0.0
397,1,3,2.17
398,0,0,0.0
399,0,0,0.0
400,0,1,11.96
401,0,0,0.0
402,0,1,2.09
403,0,2,4.58
404,0,0,0.0
405,0,3,23.97
406,0,2,4.19
407,0,0,0.0
408,0,0,0.0
409,0,0,0.0
410,0,0,0.0
411,5,5,17.76
412,1,3,11.64
413,0,2,27.97
414,4,6,9.58
415,2,5,5.03
416,0,0,0.0
417,0,1,1.92
418,2,2,6.88
419,0,2,17.23
420,0,0,0.0
421,0,0,0.0
422,2,3,10.0
423,0,1,11.59
424,1,2,1.55
425,0,0,0.0
426,1,2,37.73
427,0,0,0.0
428,2,2,12.99
429,0,0,0.0
430,0,0,0.0
431,0,0,0.0
432,0,0,0.0
433,0,1,43.37
434,0,0,0.0
435,0,0,0.0
436,0,2,46.12
437,0,2,10.48
438,0,0,0.0
439,1,3,1.32
440,0,2,14.56
