customer_id,calls,internet_usage,login_frequency
1,181,15.55,22
2,795,173.57,2
3,599,122.17,26
4,324,41.83,9
5,102,31.83,3
6,317,47.14,1
7,397,881.6,25
8,320,38.28,18
9,1052,821.96,13
10,958,165.85,14
11,214,17.62,11
12,628,129.57,26
13,619,157.13,21
14,641,292.6,7
15,251,49.93,15
16,329,723.5,4
17,815,888.96,14
18,757,71.48,26
19,1131,717.97,3
20,1112,620.79,13
21,278,135.69,26
22,198,37.53,8
23,507,229.04,5
24,680,199.04,25
25,778,711.21,15
26,135,27.19,24
27,1088,838.43,22
28,348,55.62,8
29,634,296.26,23
30,638,154.95,1
31,215,29.51,8
32,285,74.17,29
33,321,43.67,10
34,295,12.6,20
35,239,45.03,7
36,449,164.51,28
37,570,691.2,20
38,476,157.97,11
39,518,102.48,21
40,389,839.97,7
41,143,35.12,20
42,313,21.71,4
43,349,28.86,15
44,311,188.21,19
45,393,298.98,29
46,451,235.16,28
47,933,873.13,13
48,156,24.28,26
49,1065,760.28,26
50,98,13.04,19
51,158,17.94,18
52,194,29.48,27
53,447,176.23,27
54,189,11.67,14
55,792,300.15,21
56,383,180.46,17
57,260,12.66,24
58,787,135.65,30
59,176,254.49,7
60,329,21.02,2
61,392,136.61,4
62,1162,661.03,21
63,232,45.45,24
64,395,40.11,17
65,719,171.78,26
66,337,23.54,16
67,56,23.59,30
68,326,38.68,16
69,394,40.83,19
70,248,36.89,14
71,127,37.72,12
72,388,42.69,17
73,1140,720.41,20
74,229,20.64,24
75,720,790.72,24
76,428,277.08,22
77,126,21.05,24
78,517,117.3,18
79,855,152.17,2
80,479,251.61,8
81,716,263.59,27
82,241,5.69,15
83,423,296.34,12
84,318,43.5,15
85,839,176.95,21
86,173,18.83,14
87,115,28.69,21
88,626,218.29,20
89,202,22.48,26
90,711,820.34,8
91,504,52.45,5
92,469,51.18,8
93,794,289.74,25
94,180,123.05,9
95,995,734.07,24
96,223,102.33,26
97,952,813.66,10
98,760,118.59,23
99,290,228.39,4
100,304,16.95,18
101,386,843.73,7
102,70,22.06,17
103,212,132.03,21
104,189,100.99,9
105,212,11.27,21
106,245,36.55,6
107,770,229.86,8
108,329,203.22,13
109,555,401.91,3
110,502,630.65,17
111,345,17.41,15
112,210,71.19,29
113,380,28.19,27
114,366,9.69,9
115,51,22.68,4
116,373,25.09,24
117,611,124.13,11
118,102,12.66,9
119,293,249.22,23
120,588,93.19,6
121,375,16.56,1
122,135,16.59,27
123,250,48.98,21
124,176,12.71,24
125,762,231.31,24
126,850,237.77,2
127,468,245.76,3
128,1004,310.32,14
129,286,263.12,5
130,793,123.08,24
131,281,42.51,8
132,509,225.38,22
133,333,45.82,7
134,180,30.56,9
135,292,39.22,19
136,421,83.38,18
137,907,712.37,12
138,95,36.93,11
139,314,26.13,3
140,225,45.33,1
141,115,34.86,8
142,870,174.28,28
143,990,531.66,6
144,212,26.49,29
145,65,42.77,3
146,204,52.46,2
147,318,44.9,9
148,786,317.49,7
149,286,193.81,27
150,272,28.01,20
151,163,44.86,26
152,215,239.78,12
153,289,8.18,4
154,325,243.69,3
155,583,262.27,7
156,356,31.46,5
157,123,14.49,15
158,78,30.57,30
159,557,231.85,24
160,243,16.71,26
161,549,573.27,15
162,371,20.46,29
163,165,177.45,7
164,465,86.7,14
165,244,22.91,18
166,352,30.82,11
167,155,44.4,12
168,608,243.3,5
169,360,15.56,14
170,856,494.27,16
171,574,124.68,26
172,72,33.6,21
173,610,207.15,6
174,350,11.77,20
175,372,20.87,18
176,208,26.29,17
177,97,24.4,18
178,288,162.13,22
179,311,154.28,28
180,301,45.14,10
181,98,43.79,15
182,233,136.85,11
183,291,19.35,11
184,320,218.32,18
185,69,14.58,25
186,237,9.09,13
187,431,177.26,12
188,265,43.51,8
189,118,17.69,20
190,663,214.49,7
191,118,14.43,20
192,159,26.99,25
193,302,124.94,14
194,174,289.16,30
195,741,215.42,8
196,358,23.91,7
197,396,14.31,11
198,357,21.84,3
199,671,270.98,1
200,655,951.75,12
201,394,18.46,18
202,310,29.5,15
203,287,109.76,25
204,475,264.93,10
205,301,240.21,19
206,197,5.26,23
207,493,109.79,11
208,563,81.42,17
209,582,78.44,13
210,730,73.25,26
211,551,198.3,5
212,1106,345.07,18
213,604,224.33,24
214,553,703.55,16
215,418,151.09,14
216,306,142.07,16
217,72,19.63,10
218,250,25.04,20
219,256,132.93,17
220,365,24.4,18
221,305,61.34,25
222,459,240.48,30
223,1021,460.14,28
224,740,852.6,13
225,228,14.87,27
226,397,39.8,30
227,271,44.48,4
228,179,17.41,17
229,672,369.5,12
230,743,85.9,3
231,315,17.38,12
232,346,40.35,23
233,79,45.55,10
234,217,89.75,24
235,187,41.49,4
236,296,6.6,24
237,213,22.0,8
238,531,277.77,20
239,260,11.42,19
240,439,189.02,11
241,330,32.24,9
242,50,31.45,13
243,370,32.72,19
244,353,223.99,25
245,994,939.2,19
246,1163,254.5,3
247,277,7.6,20
248,531,938.82,19
249,987,385.19,20
250,479,288.5,14
251,943,711.39,30
252,229,38.35,28
253,819,258.48,14
254,343,25.32,25
255,766,322.12,2
256,271,22.69,20
257,59,39.79,18
258,343,829.48,25
259,323,21.66,15
260,235,118.89,6
