customerid,totalspending
1,76.26
2,168.24
3,214.14
4,107.34
5,93.15
6,82.11
7,334.98
8,125.01
9,366.93
10,329.07
11,104.52
12,158.76
13,223.08
14,387.93
15,104.40
16,385.71
17,324.87
18,164.85
19,297.72
20,384.12
21,172.92
22,121.14
23,154.23
24,184.98
25,317.97
26,69.51
27,408.39
28,218.22
29,253.56
30,202.02
31,116.16
32,173.52
33,107.91
34,119.46
35,73.26
36,237.42
37,360.96
38,158.01
39,220.65
40,285.60
41,105.18
42,80.58
43,106.92
44,272.52
45,184.05
46,198.12
47,413.01
48,64.23
49,382.71
50,79.47
51,63.12
52,120.66
53,181.68
54,107.31
55,368.01
56,218.40
57,91.20
58,234.42
59,188.46
60,79.56
61,156.06
62,412.98
63,229.11
64,121.41
65,158.88
66,125.34
67,122.52
68,88.68
69,82.11
70,93.15
71,100.80
72,101.13
73,405.21
74,79.11
75,366.21
76,165.36
77,107.82
78,181.53
79,271.47
80,186.69
81,219.06
82,78.87
83,283.11
84,96.15
85,395.07
86,65.70
87,72.84
88,212.97
89,90.12
90,372.99
91,151.92
92,167.67
93,199.71
94,225.99
95,364.23
96,250.62
97,332.07
98,171.21
99,244.62
100,131.70
101,424.89
102,76.17
103,215.01
104,225.48
105,65.97
106,120.93
107,248.49
108,183.57
109,427.62
110,443.04
111,72.27
112,156.81
113,66.75
114,103.47
115,62.43
116,112.86
117,231.03
118,78.06
119,199.71
120,164.01
121,128.10
122,127.86
123,109.38
124,70.08
125,158.46
126,320.64
127,238.08
128,386.67
129,205.08
130,250.17
131,109.92
132,221.28
133,108.18
134,114.42
135,63.69
136,245.79
137,315.78
138,121.62
139,105.78
140,122.94
141,115.47
142,339.48
143,377.10
144,87.03
145,88.29
146,213.81
147,71.94
148,418.20
149,167.64
150,71.46
151,93.99
152,181.98
153,81.24
154,221.94
155,239.19
156,103.44
157,131.34
158,125.88
159,161.01
160,130.53
161,393.30
162,118.14
163,194.91
164,207.48
165,129.12
166,125.52
167,63.27
168,242.37
169,116.19
170,287.16
171,172.95
172,86.97
173,234.36
174,88.56
175,83.55
176,61.41
177,134.10
178,187.89
179,228.84
180,80.31
181,77.94
182,228.42
183,117.51
184,232.83
185,70.62
186,118.80
187,205.29
188,64.35
189,90.57
190,235.26
191,119.37
192,65.16
193,220.59
194,205.77
195,151.53
196,129.63
197,74.70
198,64.02
199,238.92
200,358.02
201,69.66
202,62.94
203,237.69
204,212.13
205,223.83
206,63.66
207,247.29
208,215.31
209,176.49
210,176.94
211,252.66
212,276.09
213,187.95
214,369.99
215,231.18
216,217.59
217,118.29
218,125.73
219,239.22
220,96.69
221,155.91
222,183.84
223,430.20
224,326.58
225,95.40
226,60.42
227,83.40
228,90.84
229,393.96
230,190.29
231,95.82
232,117.36
233,107.79
