customerid,billmonth,monthlycharge,avgspending3months
1,2026-05-01,25.42,25.4200000000000000
1,2026-06-01,25.42,25.4200000000000000
1,2026-07-01,25.42,25.4200000000000000
2,2026-05-01,56.08,56.0800000000000000
2,2026-06-01,56.08,56.0800000000000000
2,2026-07-01,56.08,56.0800000000000000
3,2026-05-01,71.38,71.3800000000000000
3,2026-06-01,71.38,71.3800000000000000
3,2026-07-01,71.38,71.3800000000000000
4,2026-05-01,35.78,35.7800000000000000
4,2026-06-01,35.78,35.7800000000000000
4,2026-07-01,35.78,35.7800000000000000
5,2026-05-01,31.05,31.0500000000000000
5,2026-06-01,31.05,31.0500000000000000
5,2026-07-01,31.05,31.0500000000000000
6,2026-05-01,27.37,27.3700000000000000
6,2026-06-01,27.37,27.3700000000000000
6,2026-07-01,27.37,27.3700000000000000
7,2026-05-01,111.66,111.6600000000000000
7,2026-06-01,111.66,111.6600000000000000
7,2026-07-01,111.66,111.6600000000000000
8,2026-05-01,41.67,41.6700000000000000
8,2026-06-01,41.67,41.6700000000000000
8,2026-07-01,41.67,41.6700000000000000
9,2026-05-01,122.31,122.3100000000000000
9,2026-06-01,122.31,122.3100000000000000
9,2026-07-01,122.31,122.3100000000000000
10,2026-05-01,109.69,109.6900000000000000
10,2026-06-01,109.69,109.6900000000000000
10,2026-07-01,109.69,109.6900000000000000
11,2026-05-01,34.84,34.8400000000000000
11,2026-06-01,34.84,34.8400000000000000
11,2026-07-01,34.84,34.8400000000000000
12,2026-05-01,52.92,52.9200000000000000
12,2026-06-01,52.92,52.9200000000000000
12,2026-07-01,52.92,52.9200000000000000
13,2026-05-01,74.36,74.3600000000000000
13,2026-06-01,74.36,74.3600000000000000
13,2026-07-01,74.36,74.3600000000000000
14,2026-05-01,129.31,129.3100000000000000
14,2026-06-01,129.31,129.3100000000000000
14,2026-07-01,129.31,129.3100000000000000
15,2026-05-01,34.80,34.8000000000000000
15,2026-06-01,34.80,34.8000000000000000
15,2026-07-01,34.80,34.8000000000000000
16,2026-05-01,128.57,128.5700000000000000
16,2026-06-01,128.57,128.5700000000000000
16,2026-07-01,128.57,128.5700000000000000
17,2026-05-01,108.29,108.2900000000000000
17,2026-06-01,108.29,108.2900000000000000
17,2026-07-01,108.29,108.2900000000000000
18,2026-05-01,54.95,54.9500000000000000
18,2026-06-01,54.95,54.9500000000000000
18,2026-07-01,54.95,54.9500000000000000
19,2026-05-01,99.24,99.2400000000000000
19,2026-06-01,99.24,99.2400000000000000
19,2026-07-01,99.24,99.2400000000000000
20,2026-05-01,128.04,128.0400000000000000
20,2026-06-01,128.04,128.0400000000000000
20,2026-07-01,128.04,128.0400000000000000
21,2026-05-01,57.64,57.6400000000000000
21,2026-06-01,57.64,57.6400000000000000
21,2026-07-01,57.64,57.6400000000000000
22,2026-05-01,40.38,40.3800000000000000
22,2026-06-01,40.38,40.3800000000000000
22,2026-07-01,40.38,40.3800000000000000
23,2026-05-01,51.41,51.4100000000000000
23,2026-06-01,51.41,51.4100000000000000
23,2026-07-01,51.41,51.4100000000000000
24,2026-05-01,61.66,61.6600000000000000
24,2026-06-01,61.66,61.6600000000000000
24,2026-07-01,61.66,61.6600000000000000
25,2026-05-01,105.99,105.9900000000000000
25,2026-06-01,105.99,105.9900000000000000
25,2026-07-01,105.99,105.9900000000000000
26,2026-05-01,23.17,23.1700000000000000
26,2026-06-01,23.17,23.1700000000000000
26,2026-07-01,23.17,23.1700000000000000
27,2026-05-01,136.13,136.1300000000000000
27,2026-06-01,136.13,136.1300000000000000
27,2026-07-01,136.13,136.1300000000000000
28,2026-05-01,72.74,72.7400000000000000
28,2026-06-01,72.74,72.7400000000000000
28,2026-07-01,72.74,72.7400000000000000
29,2026-05-01,84.52,84.5200000000000000
29,2026-06-01,84.52,84.5200000000000000
29,2026-07-01,84.52,84.5200000000000000
30,2026-05-01,67.34,67.3400000000000000
30,2026-06-01,67.34,67.3400000000000000
30,2026-07-01,67.34,67.3400000000000000
31,2026-05-01,38.72,38.7200000000000000
31,2026-06-01,38.72,38.7200000000000000
31,2026-07-01,38.72,38.7200000000000000
32,2026-05-01,57.84,57.8400000000000000
32,2026-06-01,57.84,57.8400000000000000
32,2026-07-01,57.84,57.8400000000000000
33,2026-05-01,35.97,35.9700000000000000
33,2026-06-01,35.97,35.9700000000000000
33,2026-07-01,35.97,35.9700000000000000
34,2026-05-01,39.82,39.8200000000000000
34,2026-06-01,39.82,39.8200000000000000
34,2026-07-01,39.82,39.8200000000000000
35,2026-05-01,24.42,24.4200000000000000
35,2026-06-01,24.42,24.4200000000000000
35,2026-07-01,24.42,24.4200000000000000
36,2026-05-01,79.14,79.1400000000000000
36,2026-06-01,79.14,79.1400000000000000
36,2026-07-01,79.14,79.1400000000000000
