customerid,billmonth,totalamount,spendrank
43310,2026-05-01,160.50,1
43310,2026-07-01,160.50,1
43310,2026-06-01,160.50,1
13285,2026-05-01,160.49,4
13285,2026-06-01,160.49,4
13285,2026-07-01,160.49,4
38981,2026-07-01,160.49,4
38981,2026-05-01,160.49,4
38981,2026-06-01,160.49,4
89227,2026-05-01,160.49,4
89227,2026-07-01,160.49,4
89227,2026-06-01,160.49,4
49636,2026-07-01,160.48,13
49636,2026-05-01,160.48,13
49636,2026-06-01,160.48,13
56126,2026-06-01,160.48,13
56126,2026-05-01,160.48,13
56126,2026-07-01,160.48,13
68340,2026-06-01,160.48,13
68340,2026-07-01,160.48,13
68340,2026-05-01,160.48,13
70300,2026-06-01,160.48,13
70300,2026-05-01,160.48,13
70300,2026-07-01,160.48,13
86657,2026-07-01,160.48,13
86657,2026-05-01,160.48,13
86657,2026-06-01,160.48,13
94073,2026-05-01,160.48,13
94073,2026-07-01,160.48,13
94073,2026-06-01,160.48,13
2891,2026-05-01,160.47,31
2891,2026-06-01,160.47,31
2891,2026-07-01,160.47,31
89049,2026-05-01,160.47,31
89049,2026-07-01,160.47,31
89049,2026-06-01,160.47,31
92129,2026-06-01,160.47,31
92129,2026-07-01,160.47,31
92129,2026-05-01,160.47,31
42580,2026-06-01,160.46,40
42580,2026-07-01,160.46,40
42580,2026-05-01,160.46,40
65130,2026-06-01,160.46,40
65130,2026-07-01,160.46,40
65130,2026-05-01,160.46,40
70838,2026-06-01,160.46,40
70838,2026-05-01,160.46,40
70838,2026-07-01,160.46,40
61342,2026-07-01,160.45,49
61342,2026-05-01,160.45,49
61342,2026-06-01,160.45,49
63134,2026-06-01,160.45,49
63134,2026-05-01,160.45,49
63134,2026-07-01,160.45,49
78191,2026-05-01,160.45,49
78191,2026-06-01,160.45,49
78191,2026-07-01,160.45,49
80223,2026-06-01,160.45,49
80223,2026-05-01,160.45,49
80223,2026-07-01,160.45,49
99353,2026-06-01,160.45,49
99353,2026-07-01,160.45,49
99353,2026-05-01,160.45,49
22902,2026-06-01,160.44,64
22902,2026-05-01,160.44,64
22902,2026-07-01,160.44,64
35325,2026-07-01,160.44,64
35325,2026-06-01,160.44,64
35325,2026-05-01,160.44,64
70365,2026-07-01,160.44,64
70365,2026-05-01,160.44,64
70365,2026-06-01,160.44,64
70933,2026-05-01,160.44,64
70933,2026-07-01,160.44,64
70933,2026-06-01,160.44,64
75626,2026-05-01,160.44,64
75626,2026-07-01,160.44,64
75626,2026-06-01,160.44,64
30002,2026-07-01,160.43,79
30002,2026-05-01,160.43,79
30002,2026-06-01,160.43,79
40835,2026-07-01,160.43,79
40835,2026-05-01,160.43,79
40835,2026-06-01,160.43,79
70105,2026-05-01,160.43,79
70105,2026-07-01,160.43,79
70105,2026-06-01,160.43,79
28257,2026-06-01,160.41,88
28257,2026-07-01,160.41,88
28257,2026-05-01,160.41,88
30155,2026-05-01,160.41,88
30155,2026-06-01,160.41,88
30155,2026-07-01,160.41,88
67608,2026-05-01,160.41,88
67608,2026-07-01,160.41,88
67608,2026-06-01,160.41,88
4872,2026-06-01,160.40,97
4872,2026-05-01,160.40,97
4872,2026-07-01,160.40,97
16490,2026-06-01,160.40,97
16490,2026-07-01,160.40,97
16490,2026-05-01,160.40,97
37435,2026-06-01,160.40,97
37435,2026-05-01,160.40,97
37435,2026-07-01,160.40,97
42175,2026-05-01,160.40,97
42175,2026-06-01,160.40,97
42175,2026-07-01,160.40,97
56892,2026-07-01,160.40,97
56892,2026-05-01,160.40,97
56892,2026-06-01,160.40,97
23607,2026-06-01,160.39,112
23607,2026-07-01,160.39,112
23607,2026-05-01,160.39,112
90260,2026-05-01,160.39,112
90260,2026-06-01,160.39,112
90260,2026-07-01,160.39,112
93292,2026-07-01,160.39,112
93292,2026-05-01,160.39,112
93292,2026-06-01,160.39,112
6571,2026-05-01,160.38,121
6571,2026-06-01,160.38,121
6571,2026-07-01,160.38,121
46587,2026-07-01,160.38,121
46587,2026-06-01,160.38,121
46587,2026-05-01,160.38,121
87520,2026-05-01,160.38,121
87520,2026-06-01,160.38,121
87520,2026-07-01,160.38,121
45687,2026-07-01,160.37,130
45687,2026-05-01,160.37,130
45687,2026-06-01,160.37,130
96387,2026-06-01,160.37,130
96387,2026-05-01,160.37,130
96387,2026-07-01,160.37,130
1291,2026-07-01,160.36,136
1291,2026-06-01,160.36,136
1291,2026-05-01,160.36,136
11800,2026-06-01,160.36,136
11800,2026-05-01,160.36,136
11800,2026-07-01,160.36,136
22030,2026-07-01,160.36,136
22030,2026-05-01,160.36,136
22030,2026-06-01,160.36,136
23872,2026-05-01,160.36,136
23872,2026-06-01,160.36,136
23872,2026-07-01,160.36,136
37026,2026-07-01,160.36,136
37026,2026-05-01,160.36,136
37026,2026-06-01,160.36,136
13099,2026-07-01,160.35,151
13099,2026-05-01,160.35,151
13099,2026-06-01,160.35,151
19859,2026-05-01,160.35,151
19859,2026-06-01,160.35,151
