customerid,paymentdate,payment,runningtotal
2,2026-05-05,60.01,2929699.55
4,2026-05-05,38.28,2929699.55
9,2026-05-05,130.87,2929699.55
10,2026-05-05,117.37,2929699.55
11,2026-05-05,37.28,2929699.55
12,2026-05-05,56.62,2929699.55
13,2026-05-05,79.57,2929699.55
14,2026-05-05,138.36,2929699.55
21,2026-05-05,61.67,2929699.55
22,2026-05-05,43.21,2929699.55
23,2026-05-05,55.01,2929699.55
26,2026-05-05,24.79,2929699.55
32,2026-05-05,61.89,2929699.55
35,2026-05-05,26.13,2929699.55
40,2026-05-05,101.86,2929699.55
41,2026-05-05,37.51,2929699.55
43,2026-05-05,38.13,2929699.55
44,2026-05-05,97.20,2929699.55
45,2026-05-05,65.64,2929699.55
46,2026-05-05,70.66,2929699.55
47,2026-05-05,147.31,2929699.55
53,2026-05-05,64.80,2929699.55
54,2026-05-05,38.27,2929699.55
55,2026-05-05,131.26,2929699.55
56,2026-05-05,77.90,2929699.55
57,2026-05-05,32.53,2929699.55
59,2026-05-05,67.22,2929699.55
61,2026-05-05,55.66,2929699.55
65,2026-05-05,56.67,2929699.55
70,2026-05-05,33.22,2929699.55
74,2026-05-05,28.22,2929699.55
76,2026-05-05,58.98,2929699.55
77,2026-05-05,38.46,2929699.55
81,2026-05-05,78.13,2929699.55
86,2026-05-05,23.43,2929699.55
87,2026-05-05,25.98,2929699.55
88,2026-05-05,75.96,2929699.55
89,2026-05-05,32.14,2929699.55
91,2026-05-05,54.18,2929699.55
93,2026-05-05,71.23,2929699.55
94,2026-05-05,80.60,2929699.55
96,2026-05-05,89.39,2929699.55
97,2026-05-05,118.44,2929699.55
99,2026-05-05,87.25,2929699.55
101,2026-05-05,151.54,2929699.55
102,2026-05-05,27.17,2929699.55
104,2026-05-05,80.42,2929699.55
105,2026-05-05,23.53,2929699.55
108,2026-05-05,65.47,2929699.55
110,2026-05-05,158.02,2929699.55
112,2026-05-05,55.93,2929699.55
113,2026-05-05,23.81,2929699.55
118,2026-05-05,27.84,2929699.55
120,2026-05-05,58.50,2929699.55
121,2026-05-05,45.69,2929699.55
122,2026-05-05,45.60,2929699.55
123,2026-05-05,39.01,2929699.55
124,2026-05-05,25.00,2929699.55
129,2026-05-05,73.15,2929699.55
131,2026-05-05,39.20,2929699.55
136,2026-05-05,87.67,2929699.55
138,2026-05-05,43.38,2929699.55
144,2026-05-05,31.04,2929699.55
145,2026-05-05,31.49,2929699.55
149,2026-05-05,59.79,2929699.55
150,2026-05-05,25.49,2929699.55
153,2026-05-05,28.98,2929699.55
157,2026-05-05,46.84,2929699.55
158,2026-05-05,44.90,2929699.55
161,2026-05-05,140.28,2929699.55
163,2026-05-05,69.52,2929699.55
165,2026-05-05,46.05,2929699.55
166,2026-05-05,44.77,2929699.55
167,2026-05-05,22.57,2929699.55
168,2026-05-05,86.45,2929699.55
173,2026-05-05,83.59,2929699.55
174,2026-05-05,31.59,2929699.55
178,2026-05-05,67.01,2929699.55
180,2026-05-05,28.64,2929699.55
182,2026-05-05,81.47,2929699.55
186,2026-05-05,42.37,2929699.55
190,2026-05-05,83.91,2929699.55
192,2026-05-05,23.24,2929699.55
195,2026-05-05,54.05,2929699.55
196,2026-05-05,46.23,2929699.55
198,2026-05-05,22.83,2929699.55
199,2026-05-05,85.21,2929699.55
200,2026-05-05,127.69,2929699.55
201,2026-05-05,24.85,2929699.55
202,2026-05-05,22.45,2929699.55
203,2026-05-05,84.78,2929699.55
207,2026-05-05,88.20,2929699.55
212,2026-05-05,98.47,2929699.55
213,2026-05-05,67.04,2929699.55
214,2026-05-05,131.96,2929699.55
225,2026-05-05,34.03,2929699.55
226,2026-05-05,21.55,2929699.55
227,2026-05-05,29.75,2929699.55
233,2026-05-05,38.45,2929699.55
236,2026-05-05,31.25,2929699.55
240,2026-05-05,59.56,2929699.55
241,2026-05-05,33.63,2929699.55
242,2026-05-05,31.55,2929699.55
243,2026-05-05,37.85,2929699.55
244,2026-05-05,85.93,2929699.55
245,2026-05-05,123.42,2929699.55
248,2026-05-05,99.60,2929699.55
249,2026-05-05,118.92,2929699.55
