customerid,month,payment,nextmonthpayment
1,5,27.20,27.20
1,6,27.20,27.20
1,7,27.20,
2,5,60.01,60.01
2,6,60.01,60.01
2,7,60.01,
3,5,76.38,76.38
3,6,76.38,76.38
3,7,76.38,
4,5,38.28,38.28
4,6,38.28,38.28
4,7,38.28,
5,5,33.22,33.22
5,6,33.22,33.22
5,7,33.22,
6,5,29.29,29.29
6,6,29.29,29.29
6,7,29.29,
7,5,119.48,119.48
7,6,119.48,119.48
7,7,119.48,
8,5,44.59,44.59
8,6,44.59,44.59
8,7,44.59,
9,5,130.87,130.87
9,6,130.87,130.87
9,7,130.87,
10,5,117.37,117.37
10,6,117.37,117.37
10,7,117.37,
11,5,37.28,37.28
11,6,37.28,37.28
11,7,37.28,
12,5,56.62,56.62
12,6,56.62,56.62
12,7,56.62,
13,5,79.57,79.57
13,6,79.57,79.57
13,7,79.57,
14,5,138.36,138.36
14,6,138.36,138.36
14,7,138.36,
15,5,37.24,37.24
15,6,37.24,37.24
15,7,37.24,
16,5,137.57,137.57
16,6,137.57,137.57
16,7,137.57,
17,5,115.87,115.87
17,6,115.87,115.87
17,7,115.87,
18,5,58.80,58.80
18,6,58.80,58.80
18,7,58.80,
19,5,106.19,106.19
19,6,106.19,106.19
19,7,106.19,
20,5,137.00,137.00
20,6,137.00,137.00
20,7,137.00,
21,5,61.67,61.67
21,6,61.67,61.67
21,7,61.67,
22,5,43.21,43.21
22,6,43.21,43.21
22,7,43.21,
23,5,55.01,55.01
23,6,55.01,55.01
23,7,55.01,
24,5,65.98,65.98
24,6,65.98,65.98
24,7,65.98,
25,5,113.41,113.41
25,6,113.41,113.41
25,7,113.41,
26,5,24.79,24.79
26,6,24.79,24.79
26,7,24.79,
27,5,145.66,145.66
27,6,145.66,145.66
27,7,145.66,
28,5,77.83,77.83
28,6,77.83,77.83
28,7,77.83,
29,5,90.44,90.44
29,6,90.44,90.44
29,7,90.44,
30,5,72.05,72.05
30,6,72.05,72.05
30,7,72.05,
31,5,41.43,41.43
31,6,41.43,41.43
31,7,41.43,
32,5,61.89,61.89
32,6,61.89,61.89
32,7,61.89,
33,5,38.49,38.49
33,6,38.49,38.49
33,7,38.49,
34,5,42.61,42.61
34,6,42.61,42.61
34,7,42.61,
35,5,26.13,26.13
35,6,26.13,26.13
35,7,26.13,
36,5,84.68,84.68
36,6,84.68,84.68
36,7,84.68,
37,5,128.74,128.74
37,6,128.74,128.74
37,7,128.74,
38,5,56.36,56.36
38,6,56.36,56.36
38,7,56.36,
39,5,78.70,78.70
39,6,78.70,78.70
39,7,78.70,
40,5,101.86,101.86
40,6,101.86,101.86
40,7,101.86,
41,5,37.51,37.51
41,6,37.51,37.51
41,7,37.51,
42,5,28.74,28.74
42,6,28.74,28.74
42,7,28.74,
43,5,38.13,38.13
43,6,38.13,38.13
43,7,38.13,
44,5,97.20,97.20
44,6,97.20,97.20
44,7,97.20,
45,5,65.64,65.64
45,6,65.64,65.64
45,7,65.64,
46,5,70.66,70.66
46,6,70.66,70.66
46,7,70.66,
47,5,147.31,147.31
47,6,147.31,147.31
47,7,147.31,
48,5,22.91,22.91
48,6,22.91,22.91
48,7,22.91,
49,5,136.50,136.50
49,6,136.50,136.50
49,7,136.50,
50,5,28.34,28.34
50,6,28.34,28.34
50,7,28.34,
51,5,22.51,22.51
51,6,22.51,22.51
51,7,22.51,
52,5,43.04,43.04
52,6,43.04,43.04
52,7,43.04,
53,5,64.80,64.80
53,6,64.80,64.80
53,7,64.80,
54,5,38.27,38.27
54,6,38.27,38.27
54,7,38.27,
55,5,131.26,131.26
55,6,131.26,131.26
55,7,131.26,
56,5,77.90,77.90
56,6,77.90,77.90
56,7,77.90,
57,5,32.53,32.53
57,6,32.53,32.53
57,7,32.53,
58,5,83.61,83.61
58,6,83.61,83.61
58,7,83.61,
59,5,67.22,67.22
59,6,67.22,67.22
59,7,67.22,
60,5,28.38,28.38
60,6,28.38,28.38
60,7,28.38,
61,5,55.66,55.66
61,6,55.66,55.66
61,7,55.66,
62,5,147.30,147.30
62,6,147.30,147.30
62,7,147.30,
63,5,81.72,81.72
63,6,81.72,81.72
63,7,81.72,
64,5,43.30,43.30
64,6,43.30,43.30
64,7,43.30,
65,5,56.67,56.67
65,6,56.67,56.67
65,7,56.67,
66,5,44.70,44.70
66,6,44.70,44.70
66,7,44.70,
67,5,43.70,43.70
67,6,43.70,43.70
67,7,43.70,
68,5,31.63,31.63
68,6,31.63,31.63
68,7,31.63,
69,5,29.29,29.29
69,6,29.29,29.29
69,7,29.29,
70,5,33.22,33.22
70,6,33.22,33.22
70,7,33.22,
71,5,35.95,35.95
71,6,35.95,35.95
71,7,35.95,
72,5,36.07,36.07
72,6,36.07,36.07
72,7,36.07,
73,5,144.52,144.52
73,6,144.52,144.52
73,7,144.52,
74,5,28.22,28.22
74,6,28.22,28.22
74,7,28.22,
75,5,130.61,130.61
75,6,130.61,130.61
75,7,130.61,
76,5,58.98,58.98
76,6,58.98,58.98
76,7,58.98,
77,5,38.46,38.46
77,6,38.46,38.46
77,7,38.46,
78,5,64.75,64.75
78,6,64.75,64.75
78,7,64.75,
79,5,96.82,96.82
79,6,96.82,96.82
79,7,96.82,
80,5,66.59,66.59
80,6,66.59,66.59
80,7,66.59,
81,5,78.13,78.13
